dataset,uc,file,line,anaphora,optional,requirements_length,starts_without_nounphrase,incomplete_comparisons,passive,sentence_complexity,negation
etour,UC43,UC43,1,False,False,13,True,False,False,4,False
etour,UC43,UC43,2,False,False,11,True,False,False,3,False
etour,UC43,UC43,3,False,False,8,True,False,False,3,False
etour,UC43,UC43,4,False,False,28,True,False,False,6,False
etour,UC43,UC43,5,False,False,4,True,False,False,1,False
etour,UC43,UC43,6,False,False,10,False,False,False,4,False
etour,UC31,UC31,1,False,False,10,True,False,False,2,False
etour,UC31,UC31,2,False,False,12,True,False,False,3,False
etour,UC31,UC31,3,False,False,10,True,False,False,2,False
etour,UC31,UC31,4,False,False,3,True,False,False,1,False
etour,UC53,UC53,1,False,False,9,True,False,False,3,False
etour,UC53,UC53,2,False,False,46,True,False,False,11,True
etour,UC53,UC53,3,False,False,16,True,False,False,3,False
etour,UC53,UC53,4,False,False,25,True,False,False,5,False
etour,UC53,UC53,5,False,False,6,True,False,False,2,False
etour,UC53,UC53,6,False,False,14,True,False,False,4,False
etour,UC51,UC51,1,False,False,14,True,False,False,4,False
etour,UC51,UC51,2,False,False,3,True,False,False,1,False
etour,UC51,UC51,3,False,False,4,True,False,False,1,False
etour,UC51,UC51,4,False,False,10,False,False,False,4,False
etour,UC11,UC11,1,False,False,10,True,False,False,3,False
etour,UC11,UC11,2,False,False,9,True,False,False,3,False
etour,UC12,UC12,1,False,False,22,False,False,False,6,False
etour,UC12,UC12,2,False,False,7,True,False,False,2,False
etour,UC27,UC27,1,False,False,8,True,False,False,2,False
etour,UC27,UC27,2,False,False,5,True,False,False,2,False
etour,UC27,UC27,3,False,False,8,True,False,False,2,False
etour,UC27,UC27,4,False,False,3,True,False,False,1,False
etour,UC29,UC29,1,True,False,12,True,False,False,3,False
etour,UC29,UC29,2,False,False,8,False,False,False,3,False
etour,UC29,UC29,3,False,False,5,False,False,False,2,False
etour,UC34,UC34,1,False,False,5,True,False,False,1,False
etour,UC34,UC34,2,False,False,5,True,False,False,1,False
etour,UC34,UC34,3,False,False,7,True,False,False,2,False
etour,UC34,UC34,4,False,False,16,True,False,False,5,False
etour,UC33,UC33,1,False,False,5,True,False,False,1,False
etour,UC33,UC33,2,False,False,5,True,False,False,1,False
etour,UC33,UC33,3,False,False,7,True,False,False,2,False
etour,UC33,UC33,4,False,False,28,True,False,False,6,False
etour,UC33,UC33,5,False,False,4,True,False,False,1,False
etour,UC33,UC33,6,False,False,9,True,False,False,2,False
etour,UC52,UC52,1,False,False,14,True,False,False,4,False
etour,UC52,UC52,2,False,False,2,False,False,False,1,False
